nazwa,Substancja czynna,postac,dawka,Zawartosc opakowania,Kod EAN lub inny kod odpowiadajacy kodowi EAN,Poziom odplatnosci,Zakres wskazan objetych refundacja,Wysokosc doplaty swiadczeniobiorcy
Ketrel,Quetiapinum, tabl. powl., 200 mg,60 szt. (1 poj.po 60 szt.),05909990430888,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"8,65"
Ketrel,Quetiapinum, tabl. powl., 25 mg,30 szt. (1 poj.po 30 szt.),05909990430840,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"5,60"
Kvelux SR,Quetiapinum, tabl. o przedl. uwalnianiu, 200 mg,60 szt.,05909991219901,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"3,20"
Kvelux SR,Quetiapinum, tabl. o przedl. uwalnianiu, 300 mg,60 szt.,05909991219963,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,80"
Kvelux SR,Quetiapinum, tabl. o przedl. uwalnianiu, 400 mg,60 szt.,05909991220020,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"6,40"
Kvelux SR,Quetiapinum, tabl. o przedl. uwalnianiu, 50 mg,30 szt.,05909991219758,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,84"
Kventiax 100 mg tabletki powlekane,Quetiapinum, tabl. powl., 100 mg,60 szt.,05909990074143,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"6,17"
Kventiax 200 mg tabletki powlekane,Quetiapinum, tabl. powl., 200 mg,60 szt.,05909990074235,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,69"
Kventiax 25 mg tabletki powlekane,Quetiapinum, tabl. powl., 25 mg,30 szt.,05909990074068,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,91"
Kventiax 300 mg tabletki powlekane,Quetiapinum, tabl. powl., 300 mg,60 szt.,05909990074280,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,80"
Kventiax SR,Quetiapinum, tabl. o przedluzonym uwalnianiu, 150 mg,60 tabl.,05909991205591,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"3,20"
Kventiax SR,Quetiapinum, tabl. o przedluzonym uwalnianiu, 200 mg,60 tabl.,05909991205676,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"3,20"
Kventiax SR,Quetiapinum, tabl. o przedluzonym uwalnianiu, 300 mg,60 tabl.,05909991205737,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,80"
Kventiax SR,Quetiapinum, tabl. o przedluzonym uwalnianiu, 400 mg,60 szt.,05909991380922,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"6,40"
Kventiax SR,Quetiapinum, tabl. o przedluzonym uwalnianiu, 50 mg,60 szt.,05909991255367,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,98"
Kwetaplex,Quetiapinum, tabl. powl., 100 mg,60 szt.,05909990688234,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"8,16"
Kwetaplex,Quetiapinum, tabl. powl., 150 mg,60 szt.,05909990688272,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"8,42"
Kwetaplex,Quetiapinum, tabl. powl., 200 mg,60 szt.,05909990688296,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"8,65"
Kwetaplex,Quetiapinum, tabl. powl., 25 mg,30 szt.,05909990688241,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"5,60"
Kwetaplex,Quetiapinum, tabl. powl., 300 mg,60 szt.,05909990688265,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"8,80"
Kwetaplex XR,Quetiapinum, tabl. o przedluzonym uwalnianiu, 150 mg,60 szt.,05906414000894,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"3,23"
Kwetaplex XR,Quetiapinum, tabl. o przedluzonym uwalnianiu, 200 mg,60 szt.,05909990965373,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"3,20"
Kwetaplex XR,Quetiapinum, tabl. o przedluzonym uwalnianiu, 300 mg,60 szt.,05909990965403,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,80"
Kwetaplex XR,Quetiapinum, tabl. o przedluzonym uwalnianiu, 400 mg,60 szt.,05909990965441,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"6,40"
Kwetaplex XR,Quetiapinum, tabl. powl., 50 mg,30 tabl.,05909990965335,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,84"
Pinexet 100 mg,Quetiapinum, tabl. powl., 100 mg,60 szt.,05909990788590,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"7,02"
Pinexet 200 mg,Quetiapinum, tabl. powl., 200 mg,60 szt.,05909990788651,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"5,24"
Pinexet 25 mg,Quetiapinum, tabl. powl., 25 mg,30 szt.,05909990788583,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"5,25"
Pinexet 300 mg,Quetiapinum, tabl. powl., 300 mg,60 szt.,05909990788675,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,80"
Quetiapin NeuroPharma,Quetiapinum, tabl. powl., 100 mg,60 szt.,05909990938544,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"6,91"
Quetiapin NeuroPharma,Quetiapinum, tabl. powl., 200 mg,60 szt.,05909990938704,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"6,16"
Quetiapin NeuroPharma,Quetiapinum, tabl. powl., 25 mg,30 szt.,05901384806057,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,74"
Quetiapin NeuroPharma,Quetiapinum, tabl. powl., 300 mg,60 szt.,05909990938766,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"5,06"
Setinin,Quetiapinum, tabl. powl., 100 mg,60 szt.,05909990736393,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,19"
Setinin,Quetiapinum, tabl. powl., 200 mg,60 szt.,05909990736461,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"3,20"
Setinin,Quetiapinum, tabl. powl., 300 mg,60 szt.,05909990736492,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,80"
Symquel XR,Quetiapinum, tabletki o przedluzonym uwalnianiu, 200 mg,60 tabl.,05909991087180,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"3,20"
Symquel XR,Quetiapinum, tabletki o przedluzonym uwalnianiu, 300 mg,60 tabl.,05909991087258,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,80"
Symquel XR,Quetiapinum, tabletki o przedluzonym uwalnianiu, 400 mg,60 tabl.,05909991087302,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"6,40"
Symquel XR,Quetiapinum, tabletki o przedluzonym uwalnianiu, 50 mg,60 tabl.,05909991087005,ryczalt,Schizofrenia. Choroba afektywna dwubiegunowa,"4,08"
Accupro 10,Quinaprilum, tabl. powl., 10 mg,30 szt. (3 blist.po 10 tabl.),05909990707010,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,10"
Accupro 20,Quinaprilum, tabl. powl., 20 mg,30 szt. (3 blist.po 10 tabl.),05909990707119,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"17,36"
Accupro 40,Quinaprilum, tabl. powl., 40 mg,28 szt. (4 blist.po 7 tabl.),05909991080129,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"25,90"
Accupro 5,Quinaprilum, tabl. powl., 5 mg,30 szt. (3 blist.po 10 tabl.),05909990706914,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,06"
Acurenal,Quinaprilum, tabl. powl., 10 mg,30 szt. (3 blist.po 10 szt.),05909991125516,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,33"
Acurenal,Quinaprilum, tabl. powl., 20 mg,30 szt. (3 blist.po 10 szt.),05909991125615,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"15,21"
Acurenal,Quinaprilum, tabl. powl., 40 mg,30 szt.,05909990953882,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"24,59"
Acurenal,Quinaprilum, tabl. powl., 5 mg,30 szt. (3 blist.po 10 szt.),05909991125417,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,00"
Pulsaren 20,Quinaprilum, tabl. powl., 20 mg,30 szt.,05909991165710,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,77"
Ampril 10 mg,Ramiprilum, tabletki, 10 mg,30 tabletek,05909991340766,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,80"
Ampril 10 mg tabletki,Ramiprilum, tabletki, 10 mg,30 szt.,05909991308971,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,80"
Ampril 10 mg tabletki,Ramiprilum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909990571468,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,80"
Ampril 10 mg tabletki,Ramiprilum, tabl., 10 mg,60 szt. (6 blist.po 10 szt.),05909990571475,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"25,60"
Ampril 10mg tabletki,Ramiprilum, tabletki, 10 mg,30 szt.,05909991347420,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,80"
Ampril 5 mg tabletki,Ramiprilum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990571499,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,40"
Ampril 5 mg tabletki,Ramiprilum, tabl., 5 mg,60 szt. (6 blist.po 10 szt.),05909990571505,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,80"
Apo-Rami,Ramiprilum, tabl., 10 mg,28 szt. (2 blist.po 14 szt.),05909990653379,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Apo-Rami,Ramiprilum, tabl., 2.5 mg,28 szt. (2 blist.po 14 szt.),05909990653355,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,57"
Apo-Rami,Ramiprilum, tabl., 5 mg,28 szt. (2 blist.po 14 szt.),05909990653362,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,41"
Axtil,Ramiprilum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909990337989,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,13"
Axtil,Ramiprilum, tabl., 2.5 mg,30 szt. (3 blist.po 10 szt.),05909990337958,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,74"
Axtil,Ramiprilum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990337972,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,08"
Ivipril,Ramiprilum, tabl., 10 mg,28 szt.,05909990962020,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Ivipril,Ramiprilum, tabl., 2.5 mg,28 szt.,05909990961955,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Ivipril,Ramiprilum, tabl., 5 mg,28 szt.,05909990961986,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,97"
Piramil,Ramiprilum, tabletki, 10 mg,30 tabletek,05909991344603,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,80"
Piramil 10 mg,Ramiprilum, tabl., 10 mg,28 szt. (4 blist.po 7 szt.),05909990661756,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Piramil 10 mg,Ramiprilum, tabletki, 10 mg,30 szt.,05909991369910,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,80"
Piramil 2,Ramiprilum,5 mg, tabl.,30 szt. (3 blist.po 10 szt.),05909990212170,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,59"
Piramil 5 mg,Ramiprilum, tabletki, 5 mg,30 szt.,05909991369903,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,40"
Piramil 5 mg,Ramiprilum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990212248,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,69"
Polpril,Ramiprilum, tabl., 10 mg,28 szt.,05909990924653,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,16"
Polpril,Ramiprilum, kaps. twarde, 10 mg,28 szt. (2 blist.po 14 szt.),05909990694655,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,48"
Polpril,Ramiprilum, tabl., 2.5 mg,28 szt.,05909990924608,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,63"
Polpril,Ramiprilum, tabl., 5 mg,28 szt.,05909990924646,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,58"
Polpril,Ramiprilum, kaps. twarde, 5 mg,28 szt. (2 blist.po 14 szt.),05909990694631,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,12"
Ramicor,Ramiprilum, tabl. powl., 10 mg,28 tabl.,05909991093334,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Ramicor,Ramiprilum, tabl. powl., 2.5 mg,28 tabl.,05909991093280,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Ramicor,Ramiprilum, tabl. powl., 5 mg,28 tabl.,05909991093303,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,97"
Ramipril Aurovitas,Ramiprilum, tabl., 10 mg,30 szt.,05909991326012,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,80"
Ramipril Aurovitas,Ramiprilum, tabl., 2.5 mg,30 szt.,05909991325893,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,53"
Ramipril Aurovitas,Ramiprilum, tabl., 5 mg,30 szt.,05909991325954,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,57"
Ramipril Billev,Ramiprilum, tabl., 10 mg,28 szt.,05909991070540,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Ramipril Billev,Ramiprilum, tabl., 5 mg,28 szt.,05909991070441,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,97"
Ramistad 10,Ramiprilum, tabl., 10 mg,28 szt. (2 blist.po 14 szt.),05909990017461,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Ramistad 2,Ramiprilum,5, tabl.,28 szt. (2 blist.po 14 szt.),05909990017447,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Ramistad 5,Ramiprilum, tabl., 5 mg,28 szt. (2 blist.po 14 szt.),05909990017454,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,97"
Ramve 10 mg,Ramiprilum, kaps. twarde, 10 mg,28 szt.,05909990047987,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Ramve 2,Ramiprilum,5 mg, kaps. twarde,28 szt.,05909990047949,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,42"
Ramve 5 mg,Ramiprilum, kaps. twarde, 5 mg,28 szt.,05909990047963,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,12"
Tritace 10,Ramiprilum, tabl., 10 mg,28 szt.,05909991414153,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Tritace 10,Ramiprilum, tabl., 10 mg,28 szt.,05909991411640,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Tritace 10,Ramiprilum, tabl., 10 mg,28 szt.,05909991402006,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Tritace 10,Ramiprilum, tabl., 10 mg,28 szt.,05909991401566,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Tritace 10,Ramiprilum, tabl., 10 mg,28 szt. (2 blist.po 14 szt.),05909990916016,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,49"
Tritace 10,Ramiprilum, tabletki, 10 mg,28 tabl.,05909991367084,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,95"
Tritace 2,Ramiprilum,5, tabl.,28 szt. (2 blist.po 14 szt.),05909990478217,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,53"
Tritace 5,Ramiprilum, tabl., 5 mg,28 szt. (2 blist.po 14 szt.),05909990478316,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,18"
Vivace 10 mg,Ramiprilum, tabl., 10 mg,30 szt. (3 blist.po 10 szt.),05909990610532,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"12,80"
Vivace 10 mg,Ramiprilum, tabl., 10 mg,90 szt.,05909991004392,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"38,40"
Vivace 2,Ramiprilum,5 mg, tabl.,30 szt. (3 blist.po 10 szt.),05909990610440,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,62"
Vivace 2,Ramiprilum,5 mg, tabl.,90 szt.,05909991004378,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,01"
Vivace 5 mg,Ramiprilum, tabl., 5 mg,30 szt. (3 blist.po 10 szt.),05909990610495,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,91"
Vivace 5 mg,Ramiprilum, tabl., 5 mg,90 szt.,05909991004385,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"19,20"
Egiramlon,Ramiprilum + Amlodipinum, kaps. twarde, 10+10 mg,30 szt.,05909990936885,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,80"
Egiramlon,Ramiprilum + Amlodipinum, kaps. twarde, 10+5 mg,30 szt.,05909990936854,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,08"
Egiramlon,Ramiprilum + Amlodipinum, kaps. twarde, 5+10 mg,30 szt.,05909990936809,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,80"
Egiramlon,Ramiprilum + Amlodipinum, kaps. twarde, 5+5 mg,30 szt.,05909990936779,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,08"
Ramizek Combi,Ramiprilum + Amlodipinum, kaps., 10+10 mg,30 szt.,05909991142759,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,28"
Ramizek Combi,Ramiprilum + Amlodipinum, kaps. twarde, 10+10 mg,60 szt.,05909991142728,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,26"
Ramizek Combi,Ramiprilum + Amlodipinum, kaps., 10+5 mg,30 szt.,05909991142636,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,84"
Ramizek Combi,Ramiprilum + Amlodipinum, kaps. twarde, 10+5 mg,60 szt.,05909991142643,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,28"
Ramizek Combi,Ramiprilum + Amlodipinum, kaps., 5+10 mg,30 szt.,05909991142681,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,28"
Ramizek Combi,Ramiprilum + Amlodipinum, kaps. twarde, 5+10 mg,60 szt.,05909991142674,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,26"
Ramizek Combi,Ramiprilum + Amlodipinum, kaps., 5+5 mg,30 szt.,05909991142520,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,84"
Ramizek Combi,Ramiprilum + Amlodipinum, kaps. twarde, 5+5 mg,60 szt.,05909991142513,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,28"
Rimal,Ramiprilum + Amlodipinum, kaps. twarde, 10+10 mg,30 szt.,05903060611542,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,29"
Rimal,Ramiprilum + Amlodipinum, kaps. twarde, 10+5 mg,30 szt.,05903060611504,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,84"
Rimal,Ramiprilum + Amlodipinum, kaps. twarde, 5+10 mg,30 szt.,05903060611467,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,29"
Rimal,Ramiprilum + Amlodipinum, kaps. twarde, 5+5 mg,30 szt.,05903060611429,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,84"
Sumilar,Ramiprilum + Amlodipinum, kaps. twarde, 10+10 mg,30 szt.,05909990988334,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,28"
Sumilar,Ramiprilum + Amlodipinum, kaps. twarde, 10+5 mg,30 szt.,05909990988297,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,84"
Sumilar,Ramiprilum + Amlodipinum, kaps. twarde, 5+10 mg,30 szt.,05909990988273,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,28"
Sumilar,Ramiprilum + Amlodipinum, kaps. twarde, 5+5 mg,30 szt.,05909990988259,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,84"
Delmuno 2,Ramiprilum + Felodipinum,5, tabl. powl.,5+2,5 mg,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,70"
Delmuno 5,Ramiprilum + Felodipinum, tabl. powl., 5+5 mg,28 szt.,05909990973217,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,17"
Ampril HD,Ramiprilum + Hydrochlorothiazidum, tabl., 5+25 mg,30 szt. (3 blist.po 10 szt.),05909990573233,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,94"
Ampril HL,Ramiprilum + Hydrochlorothiazidum, tabl.,2,5 mg,05909990573226,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,05"
Tritace 2,Ramiprilum + Hydrochlorothiazidum,5 Comb, tabl.,5+12,5 mg,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,30"
Tritace 5 Comb,Ramiprilum + Hydrochlorothiazidum, tabl., 5+25 mg,28 szt. (2 blist.po 14 szt.),05909990885411,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,18"
Ranitydyna Aurovitas,Ranitidinum, tabl. powl., 150 mg,60 szt.,05909991352868,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Rifampicyna TZF,Rifampicinum, kaps. twarde, 150 mg,100 szt.,05909990085019,bezplatny do limitu,"Gruzlica, w tym rowniez gruzlica wielolekooporna i inne mykobakteriozy","13,75"
Rifampicyna TZF,Rifampicinum, kaps. twarde, 300 mg,100 szt.,05909990084913,bezplatny do limitu,"Gruzlica, w tym rowniez gruzlica wielolekooporna i inne mykobakteriozy","0,00"
Rifamazid,Rifampicinum + Isoniazidum, kaps. twarde, 150 + 100 mg,100 szt.,05909990086115,bezplatny do limitu,"Gruzlica, w tym rowniez gruzlica wielolekooporna i inne mykobakteriozy","12,53"
Rifamazid,Rifampicinum + Isoniazidum, kaps. twarde, 300 + 150 mg,100 szt.,05909990086214,bezplatny do limitu,"Gruzlica, w tym rowniez gruzlica wielolekooporna i inne mykobakteriozy","0,00"
Riluzol PMCS,Riluzolum, tabl., 50 mg,56 tabl.,05909990928156,ryczalt,Stwardnienie zanikowe boczne,"3,20"
Risendros 35,Risedronatum natricum, tabl. powl., 35 mg,4 szt. (1 blist.po 4 szt.),05909990082599,30p,Osteoporoza,"8,98"
Orizon,Risperidonum, tabl. powl., 1 mg,20 szt.,05909990831258,ryczalt,Schizofrenia,"4,10"
Orizon,Risperidonum, tabl. powl., 1 mg,60 szt.,05909990831265,ryczalt,Schizofrenia,"3,20"
Orizon,Risperidonum, roztwor doustny, 1 mg/ml,100 ml,05909990690138,ryczalt,Schizofrenia,"3,20"
Orizon,Risperidonum, tabl. powl., 2 mg,60 szt.,05909990831272,ryczalt,Schizofrenia,"3,20"
Orizon,Risperidonum, tabl. powl., 3 mg,60 szt.,05909990831289,ryczalt,Schizofrenia,"3,84"
Orizon,Risperidonum, tabl. powl., 4 mg,60 szt.,05909990831296,ryczalt,Schizofrenia,"5,12"
Ranperidon,Risperidonum, tabl. ulegajace rozpadowi w jamie ustnej, 1 mg,30 szt. (3 blist.po 10 szt.),05909990075157,ryczalt,Schizofrenia,"3,84"
Ranperidon,Risperidonum, tabl. ulegajace rozpadowi w jamie ustnej, 2 mg,30 szt. (3 blist.po 10 szt.),05909990075164,ryczalt,Schizofrenia,"3,20"
Ranperidon,Risperidonum, tabl. ulegajace rozpadowi w jamie ustnej, 3 mg,30 szt. (3 blist.po 10 szt.),05909990075171,ryczalt,Schizofrenia,"3,20"
Ranperidon,Risperidonum, tabl. ulegajace rozpadowi w jamie ustnej, 4 mg,30 szt. (3 blist.po 10 szt.),05909990075188,ryczalt,Schizofrenia,"3,20"
Risperidon Vipharm,Risperidonum, tabl. powl., 1 mg,20 szt. (2 blist.po 10 szt.),05909990044481,ryczalt,Schizofrenia,"4,38"
Risperidon Vipharm,Risperidonum, tabl. powl., 2 mg,20 szt. (2 blist.po 10 szt.),05909990044344,ryczalt,Schizofrenia,"4,74"
Risperidon Vipharm,Risperidonum, tabl. powl., 3 mg,20 szt. (2 blist.po 10 szt.),05909990044252,ryczalt,Schizofrenia,"5,30"
Risperidon Vipharm,Risperidonum, tabl. powl., 4 mg,20 szt. (2 blist.po 10 szt.),05909990044146,ryczalt,Schizofrenia,"6,01"
Risperidone Farmax,Risperidonum, tabl. powl., 1 mg,20 szt.,05909991213060,ryczalt,Schizofrenia,"3,20"
Risperidone Farmax,Risperidonum, tabl. powl., 2 mg,20 szt.,05909991213084,ryczalt,Schizofrenia,"3,20"
Risperidone Farmax,Risperidonum, tabl. powl., 3 mg,20 szt.,05909991213107,ryczalt,Schizofrenia,"3,20"
Risperon,Risperidonum, tabl. powl., 1 mg,20 szt. (2 blist.po 10 szt.),05909990336524,ryczalt,Schizofrenia,"4,99"
Risperon,Risperidonum, tabl. powl., 1 mg,60 szt. (6 blist.po 10 szt.),05909990336548,ryczalt,Schizofrenia,"6,54"
Risperon,Risperidonum, tabl. powl., 2 mg,20 szt. (2 blist.po 10 szt.),05909990336487,ryczalt,Schizofrenia,"6,33"
Risperon,Risperidonum, tabl. powl., 2 mg,60 szt. (6 blist.po 10 szt.),05909990336500,ryczalt,Schizofrenia,"8,53"
Risperon,Risperidonum, tabl. powl., 3 mg,20 szt. (2 blist.po 10 szt.),05909990336555,ryczalt,Schizofrenia,"6,55"
Risperon,Risperidonum, tabl. powl., 3 mg,60 szt. (6 blist.po 10 szt.),05909990336579,ryczalt,Schizofrenia,"7,84"
